date,score,Retail and Recreation activity,covid confirmed cases,total demand,ma_score,ma_cases
9/5/20,1.148609512,1,4,329483.2,1.113402593,3.142857143
10/5/20,0.932946617,4,2,331538.7,1.088295604,2.857142857
11/5/20,0.901082815,3,0,381089.5,1.075426495,2.857142857
12/5/20,1.028179213,-1,0,388104.6,1.061359018,2.571428571
13/5/20,1.055125848,-3,6,394337.8,1.045818981,2.428571429
14/5/20,1.058250876,-3,4,399014.3,1.035083511,2.714285714
15/5/20,1.035533789,3,8,395835.6,1.022818381,3.428571429
16/5/20,1.017316424,3,3,364424.8,1.004062226,3.285714286
17/5/20,0.931314147,6,1,352528.5,1.003829016,3.142857143
18/5/20,0.839515484,4,1,387702.6,0.995033683,3.285714286
19/5/20,0.93455396,-1,2,375588.7,0.981658647,3.571428571
20/5/20,0.954068152,-4,3,368143.6,0.967221833,3.142857143
21/5/20,1,-3,1,392309.9,0.958900279,2.714285714
22/5/20,1.004340418,-3,2,415461.9,0.954444084,1.857142857
23/5/20,1,2,2,385744.7,0.951970309,1.714285714
24/5/20,0.923032501,3,1,368027.6,0.950787216,1.714285714
25/5/20,0.794994906,2,3,411570.2,0.944427134,2
26/5/20,0.885507548,-2,2,402827.1,0.937420504,2
27/5/20,0.831240974,-4,0,391485.4,0.919873764,1.571428571
28/5/20,0.785441167,-4,1,387532.5,0.889222502,1.571428571
29/5/20,0.813161727,0,2,400136.1,0.86191126,1.571428571
30/5/20,0.833568297,-1,0,363861.1,0.838135303,1.285714286
31/5/20,0.80215547,-5,3,350264.3,0.820867156,1.571428571
1/6/20,0.558842475,-3,3,374081.5,0.787131094,1.571428571
2/6/20,0.752123006,-5,6,430252.1,0.768076159,2.142857143
3/6/20,0.654058789,-6,0,412571.3,0.742764419,2.142857143
4/6/20,0.660056267,-8,2,423958.2,0.72485229,2.285714286
5/6/20,0.620702821,-9,4,420999.7,0.697358161,2.571428571
6/6/20,0.660301376,-14,0,394284.4,0.672605743,2.571428571
7/6/20,1,-18,0,394904.8,0.700869248,2.142857143
8/6/20,1.225741002,-16,3,380658.1,0.796140466,2.142857143
9/6/20,0.741087802,-20,2,415314.2,0.794564008,1.571428571
10/6/20,0.722869619,-33,3,416480.9,0.804394127,2
11/6/20,0.594236184,-36,0,399017.5,0.794991258,1.714285714
