date,Mobility_score,con_cases,moving_average_mob,moving_average_cases
27-04-2020,0.619762054,0,0.7,2.86
28-04-2020,0.605380122,2,0.69,2.14
29-04-2020,0.700258796,3,0.7,2.57
30-04-2020,0.655155227,7,0.7,3.43
01-05-2020,0.69140874,3,0.69,3
02-05-2020,0.694496863,7,0.67,3.57
03-05-2020,0.631210669,13,0.66,5
04-05-2020,0.515326377,22,0.64,8.14
05-05-2020,0.530635504,17,0.63,10.29
06-05-2020,0.567207628,17,0.61,12.29
07-05-2020,0.561031739,14,0.6,13.29
08-05-2020,0.55066068,13,0.58,14.71
09-05-2020,0.663129459,10,0.57,15.14
10-05-2020,0.535285206,10,0.56,14.71
11-05-2020,0.477880767,7,0.56,12.57
12-05-2020,0.496568972,15,0.55,12.29
13-05-2020,0.46451221,5,0.54,10.57
14-05-2020,0.451198057,9,0.52,9.86
15-05-2020,0.359154838,20,0.49,10.86
16-05-2020,0.276366862,11,0.44,11
17-05-2020,0.341335152,7,0.41,10.57
18-05-2020,0.35175737,6,0.39,10.43
19-05-2020,0.4023907,6,0.38,9.14
20-05-2020,0.434613547,7,0.37,9.43
21-05-2020,0.432038647,1,0.37,8.29
22-05-2020,0.336471714,12,0.37,7.14
23-05-2020,0.330484502,9,0.38,6.86
24-05-2020,0.338142854,1,0.38,6
25-05-2020,0.24284814,2,0.36,5.43
26-05-2020,0.195942657,5,0.33,5.29
27-05-2020,0.247723769,8,0.3,5.43
28-05-2020,0.241228844,10,0.28,6.71
29-05-2020,0.200522357,6,0.26,5.86
30-05-2020,0.213566791,11,0.24,6.14
31-05-2020,0.249305642,4,0.23,6.57
01-06-2020,0.14611712,4,0.21,6.86
02-06-2020,0.120505068,10,0.2,7.57
03-06-2020,0.1446368,7,0.19,7.43
04-06-2020,0.098254068,8,0.17,7.14
05-06-2020,0.072410452,3,0.15,6.71
06-06-2020,0.094882515,0,0.13,5.14
07-06-2020,0.432038147,4,0.16,5.14
08-06-2020,0.842683363,2,0.26,4.86
09-06-2020,0.053100654,0,0.25,3.43
10-06-2020,0.031640988,4,0.23,3
